420 2590 280 50 1970 2900 370 410 2630 80 2200 960 1000 1600 1810 1040 2520 870 1450 350
2410 840 1210 750 860 1890 1180 830 2130 2580 2910 1650 2120 710 540 2570 1440 1200 590 1860
2080 2540 660 550 760 1300 580 2460 1930 2060 510 2650 1460 1620 230 2780 1770 2950 1590 520
480 2760 2660 2320 2970 1690 1700 650 290 1550 2340 2710 850 2140 120 1540 1050 1640 2490 1900
1330 2280 1090 30 670 1310 940 1760 2170 1850 2330 2870 400 1420 620 1520 2450 1230 1290 2690
1130 2990 2880 1400 1630 1160 1980 1120 2560 100 1510 790 2090 130 2730 2210 2820 10 1380 70
2420 1830 150 2010 570 1390 90 2940 2020 1340 2840 270 1360 1680 1740 1730 2070 140 2310 2620
820 950 1370 2240 2960 20 2640 680 2480 1250 40 2110 2680 1820 460 220 2260 600 980 920
1070 1950 1670 1110 2850 720 1410 1030 1920 2290 2440 2160 1010 1020 2500 340 2350 560 1990 2400
2920 1570 440 910 1190 60 890 2220 990 1840 730 2360 1750 2430 3000 800 1800 2930 160 170
1710 2470 1220 700 2740 180 2530 2050 2720 1280 1530 900 1780 2270 810 2100 2980 1470 1430 1960
2890 1720 110 2300 1260 390 2380 1940 430 1080 1320 2610 190 1560 2700 2790 1870 880 2250 1270
1350 2510 1480 210 630 2000 1790 2830 2770 2800 770 2670 1170 2370 1500 2390 1610 2190 2550 1060
2810 330 500 1910 970 530 930 1580 610 740 2860 1490 690 240 1140 260 2040 320 1150 640
310 2180 470 1240 360 2150 2230 450 200 1100 2600 300 1880 490 2750 380 250 2030 780 1660
